,Entity,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%)
10205,Suriname,SUR,2014,3.51235897435897,15306.692436763899,547928.0,3.51235897435897,362120,185808,66.089,33.910999
10261,Swaziland,SWZ,2014,75.29633720930231,7870.970748142571,1295097.0,75.29633720930231,299802,995295,23.149,76.850998
10317,Sweden,SWE,2014,23.8052343423928,44167.631866989104,9689376.0,23.613042842520798,8362604,1333506,86.24700000000001,13.753
10373,Switzerland,CHE,2014,207.223630934305,57218.0279263612,8229629.0,208.260679218544,6034707,2153942,73.696,26.304001
10429,Tajikistan,TJK,2014,60.256401942559,2546.50048351137,8362745.0,59.750964561303206,2229090,6133655,26.655,73.345001
10485,Tanzania,TZA,2014,58.96914540528339,2402.0993456211,52234869.0,58.96914540528339,16142664,36092205,30.904,69.096001
10541,Thailand,THA,2014,133.916835326587,14857.202932021,68416772.0,133.916835326587,32116885,36299887,46.943000000000005,53.056999
10597,Timor,TLS,2014,81.5611297915266,6262.905515565961,1212814.0,81.5611297915266,353329,859485,29.133000000000003,70.866997
10653,Togo,TGO,2014,132.908898694613,1315.3402595533,7228915.0,132.908898694613,2861132,4367783,39.579,60.421001000000004
10709,Tonga,TON,2014,146.919444444444,5031.62995127747,105782.0,146.919444444444,24677,81105,23.328000000000003,76.67199699999999
10765,Trinidad and Tobago,TTO,2014,264.033723196881,31181.821195928398,1354493.0,264.033723196881,723475,631018,53.413000000000004,46.587002000000005
10821,Tunisia,TUN,2014,71.7295829042225,10767.0276518537,11143908.0,71.7295829042225,7552449,3591459,67.77199999999999,32.228001
10877,Turkey,TUR,2014,100.08787079505699,22401.880431139398,77030628.0,100.08787079505699,56291672,20738956,73.077,26.923000000000002
10933,Turkmenistan,TKM,2014,11.632032430362,14332.365769837099,5466241.0,11.632032430362,2728802,2737439,49.92100000000001,50.078998999999996
10988,Turks and Caicos Islands,TCA,2014,35.5147368421053,,,35.5147368421053,30990,2749,91.851,8.149000200000001
11044,Tuvalu,TUV,2014,363.6,3159.48606505392,10908.0,363.6,6412,4496,58.786,41.214001
11100,Uganda,UGA,2014,193.663165769001,1637.2750813846399,38833338.0,194.35132375757,8350721,30482617,21.504,78.496002
11156,Ukraine,UKR,2014,78.15074832985209,8243.47351509088,44883426.0,77.47605123247949,31223156,14048791,68.968,31.031999999999996
11212,United Arab Emirates,ARE,2014,108.50319377990401,63943.1858285789,9070867.0,108.50319377990401,7744253,1326614,85.375,14.625
11268,United Kingdom,GBR,2014,267.073781672385,38251.7924802929,65015686.0,268.737593518786,53218629,11394531,82.365,17.635
11324,United States,USA,2014,34.831955349158605,51921.9846391384,317718779.0,34.7331574367417,259623192,58999333,81.483,18.517
11379,United States Virgin Islands,VIR,2014,308.24,,,300.31428571428603,102720,5164,95.213,4.7870002000000005
11435,Uruguay,URY,2014,19.5380299394355,19827.5649886027,3419546.0,19.5380299394355,3246688,172858,94.945,5.0549998
11491,Uzbekistan,UZB,2014,72.3030089327692,5370.86580208835,30499618.0,71.6963281617301,15640290,15117410,50.85,49.150002
11547,Vanuatu,VUT,2014,21.234618539786698,2892.3416043509696,258850.0,21.234618539786698,64353,194497,24.861,75.139
11603,Venezuela,VEN,2014,34.8487931523156,16745.0219796981,30738378.0,34.8487931523156,27094036,3644342,88.14399999999999,11.856
11659,Vietnam,VNM,2014,298.464588641275,5264.82809971072,92544915.0,298.464588641275,30646249,61898666,33.115,66.885002
11714,World,OWID_WRL,2014,56.048410525121405,14462.3881342532,,56.1013765549548,3886498272,3382971219,53.47478316779358,46.525215
11770,Yemen,YEM,2014,49.7117771843097,3766.8052549489703,26246327.0,49.7117771843097,8967058,17279269,34.165,65.834999
11826,Zambia,ZMB,2014,21.013161328508602,3632.5037533140203,15620974.0,21.013161328508602,6464271,9156703,41.382,58.618
11882,Zimbabwe,ZWE,2014,39.8388910430399,1925.1386984179999,15411675.0,39.8388910430399,5009411,10402264,32.504,67.496002
